Haglof_Plot_ID,Plot_Radius,Haglof_ID,Tree_Dia_mm,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude
108,25,3444,94,978,869,1067,5.14,-8.23,9.7,147.99,-3,45.5613474,-84.7065567
108,25,3445,101,1675,1657,1833,1.58,-17.13,17.2,174.72,8,45.5612683,-84.7066055
108,25,3446,129,1705,1677,1857,2.48,-17.27,17.45,171.84,8,45.5612668,-84.7065942
108,25,3447,121,1471,1303,1501,11.21,-8.75,14.23,127.98,2,45.5613411,-84.7064792
108,25,13,124,1352,1196,1393,9.83,-8.68,13.11,131.43,-5,45.5613422,-84.7064968
109,25,3448,215,1219,1390,1395,-11.25,-7.06,13.28,237.88,6,45.5612889,-84.7065255
109,25,3449,377,1181,1361,1353,-11.28,-6.1,12.83,241.6,-17,45.5612976,-84.7065256
109,25,14,116,635,820,788,-6.99,-2.57,7.44,249.79,14,45.5613282,-84.7064693
109,25,15,79,511,698,659,-5.91,-1.87,6.2,252.42,14,45.5613342,-84.7064553
109,25,16,222,235,388,431,-2.25,-2.52,3.38,221.77,4,45.5613274,-84.7064087
109,25,17,31,379,338,517,0.82,-3.98,4.06,168.41,6,45.5613136,-84.7063699
109,25,18,425,1332,1239,1437,6.14,-11.66,13.18,152.21,-11,45.5612431,-84.7063045
109,25,3450,413,1225,1326,1422,-6.22,-11.5,13.08,208.39,2,45.5612477,-84.7064627
109,25,3451,323,839,968,1033,-5.72,-7.38,9.34,217.76,5,45.5612846,-84.7064548
109,25,3452,137,644,762,827,-4.3,-6.03,7.41,215.46,7,45.5612964,-84.7064361
109,25,3453,161,481,412,281,1.43,3.55,3.83,21.94,-1,45.5613811,-84.7063593
109,25,3454,181,836,641,741,7.34,0.32,7.35,87.53,9,45.5613505,-84.7062848
109,25,3455,402,674,581,778,3.08,-5.84,6.6,152.19,-1,45.5612962,-84.7063416
109,25,3456,270,860,855,1023,0.39,-9.01,9.02,177.54,6,45.5612684,-84.7063772
109,25,3457,240,941,904,1078,1.9,-9.47,9.66,168.67,3,45.5612639,-84.7063581
109,25,3458,88,1055,1076,1221,-1.12,-11.11,11.17,185.75,-17,45.5612499,-84.7063973
109,25,3459,329,1375,1358,1529,1.36,-14.03,14.09,174.46,12,45.561223,-84.7063666
109,25,3460,106,1070,1044,1218,1.49,-10.98,11.08,172.3,8,45.5612504,-84.7063639
109,25,3461,148,1116,1086,1263,1.76,-11.38,11.51,171.19,8,45.5612468,-84.7063605
109,25,3462,307,1459,1425,1605,2.65,-14.63,14.87,169.72,8,45.5612173,-84.7063503
109,25,3463,363,1597,1572,1744,2.27,-16.09,16.24,171.98,-17,45.5612043,-84.7063558
110,25,3464,91,1747,1780,1926,-2.89,-17.94,18.17,189.15,5,45.5611866,-84.7062997
110,25,3465,84,1747,1756,1913,-0.74,-18.03,18.05,182.34,5,45.5611852,-84.7062722
110,25,3466,338,1168,1196,1350,-1.43,-12.17,12.26,186.69,10,45.5612381,-84.7062789
110,25,3467,222,761,746,912,0.71,-7.95,7.98,174.86,7,45.5612755,-84.7062499
110,25,3468,230,1482,1406,1591,5.87,-13.65,14.86,156.74,11,45.5612229,-84.706186
110,25,3469,232,1473,1389,1572,6.59,-13.15,14.71,153.37,-16,45.5612272,-84.7061765
111,25,3470,153,598,782,647,-6.43,1.84,6.69,285.93,7,45.5612387,-84.7063693
111,25,3471,99,588,770,626,-6.21,2.16,6.57,289.18,-1,45.5612415,-84.7063663
115,25,3472,75,1348,1540,1412,-14.04,2.87,14.33,281.53,10,45.5612252,-84.7056503
115,25,3473,102,1260,1454,1340,-13.4,1.58,13.49,276.74,12,45.5612135,-84.7056425
115,25,3474,118,1412,1612,1540,-15.02,-2.3,15.2,261.29,9,45.5611789,-84.7056647
115,25,3475,107,1311,1506,1455,-13.74,-3.69,14.23,254.97,-11,45.5611661,-84.7056488
115,25,3476,87,1111,1313,1218,-12.12,-0.33,12.12,268.46,17,45.561196,-84.7056268
115,25,3477,80,978,1116,923,-7.15,7.06,10.05,314.64,1,45.5612611,-84.7055605
115,25,3478,106,882,1068,997,-9.73,-1.2,9.8,262.94,-21,45.5611874,-84.7055965
115,25,3479,87,907,1102,1030,-10.03,-1.34,10.12,262.39,12,45.5611863,-84.7056004
115,25,3480,184,954,1157,1081,-10.47,-1.51,10.58,261.81,15,45.5611849,-84.7056061
115,25,3481,143,989,1218,1117,-10.98,-0.87,11.02,265.45,11,45.5611907,-84.7056125
115,25,3482,141,1031,1234,1171,-11.16,-2.38,11.41,257.98,6,45.5611773,-84.7056153
115,25,3483,122,1249,1420,1426,-11.52,-7.26,13.62,237.79,3,45.5611334,-84.7056217
115,25,3484,284,415,604,577,-4.78,-2.02,5.19,247.04,9,45.5611788,-84.7055335
115,25,19,373,416,587,587,-4.34,-2.74,5.13,237.71,-19,45.5611722,-84.7055281
115,25,3485,111,1117,1195,1311,-4.45,-11.2,12.05,201.66,7,45.5610962,-84.7055326
115,25,3486,119,704,816,897,-4.29,-6.77,8.02,212.37,5,45.5611359,-84.705529
115,25,3487,80,417,559,606,-3.55,-3.85,5.24,222.72,11,45.5611621,-84.7055184
115,25,3488,85,616,515,423,2.89,4.26,5.15,34.15,7,45.5612333,-84.705433
115,25,3489,84,849,853,1019,-0.09,-9.05,9.05,180.57,4,45.5611144,-84.705476
115,25,3490,165,1024,1041,1192,-0.77,-10.78,10.81,184.07,5,45.561099,-84.7054853
115,25,3491,131,1174,1034,1238,7.65,-8.52,11.45,138.1,6,45.5611171,-84.7053767
115,25,20,314,1127,994,1194,7.16,-8.26,10.93,139.08,8,45.5611196,-84.7053829
115,25,21,160,1640,1474,1663,12.81,-9.38,15.88,126.22,5,45.5611081,-84.7053109
115,25,3493,208,1638,1478,1670,12.41,-9.94,15.9,128.7,8,45.5611032,-84.7053163
115,25,3492,82,1257,1063,1158,11.58,0.5,11.59,87.53,11,45.5611973,-84.705323
116,25,3494,223,1129,1327,1290,-11.65,-4.26,12.41,249.93,7,45.5610751,-84.7053049
116,25,3495,173,1329,1528,1451,-14.22,-1.69,14.32,263.21,8,45.5610988,-84.7053368
116,25,3496,263,1282,1478,1377,-13.7,0.3,13.71,271.27,18,45.5611166,-84.7053295
116,25,3497,276,1031,1225,1154,-11.15,-1.61,11.26,261.81,10,45.5610988,-84.7052974
116,25,3498,258,1354,1523,1531,-12.26,-7.95,14.61,237.02,12,45.561042,-84.705314
116,25,3499,74,1193,1349,1385,-9.88,-8.59,13.09,228.99,4,45.5610357,-84.7052837
116,25,3500,149,576,745,745,-5.87,-3.51,6.84,239.15,-16,45.5610803,-84.7052306
116,25,3501,139,599,777,762,-6.37,-3.1,7.09,244.1,-14,45.5610842,-84.7052369
116,25,22,65,631,810,798,-6.67,-3.33,7.45,243.5,7,45.5610822,-84.7052407
116,25,23,126,821,743,934,3.2,-7.65,8.3,157.32,8,45.5610407,-84.705116
116,25,24,456,1030,945,1142,4.4,-9.21,10.21,154.48,8,45.5610264,-84.7051012
116,25,25,285,2150,1985,2158,17.74,-11.03,20.88,121.87,-16,45.5610067,-84.7049311
116,25,3502,346,504,698,594,-5.83,0.3,5.83,272.97,13,45.5611146,-84.7052286
