"Subplot","Species","Calculation","Value","Date","Filename_2018","final_ID","Sample","girdled","Year"
"D01E","pogr","NPCI","-0.1536345",2018-07-22,"D01E_pogr_can06_07222018","1EP2",3,"N",2018
"D01E","pogr","RENDVI","0.4858749",2018-07-22,"D01E_pogr_can06_07222018","1EP2",3,"N",2018
"D01E","pogr","PRI","0.02848998",2018-07-22,"D01E_pogr_can06_07222018","1EP2",3,"N",2018
"D01E","pogr","NDVI","0.8708706",2018-07-22,"D01E_pogr_can07_07222018","1EP3",1,"N",2018
"D01E","pogr","NPCI","-0.1793737",2018-07-22,"D01E_pogr_can07_07222018","1EP3",1,"N",2018
"D01E","pogr","RENDVI","0.5067872",2018-07-22,"D01E_pogr_can07_07222018","1EP3",1,"N",2018
"D01E","pogr","PRI","0.03699162",2018-07-22,"D01E_pogr_can07_07222018","1EP3",1,"N",2018
"D01E","pogr","NDVI","0.8706539",2018-07-22,"D01E_pogr_can08_07222018","1EP3",2,"N",2018
"D01E","pogr","NPCI","-0.1837686",2018-07-22,"D01E_pogr_can08_07222018","1EP3",2,"N",2018
"D01E","pogr","RENDVI","0.5053505",2018-07-22,"D01E_pogr_can08_07222018","1EP3",2,"N",2018
"D01E","pogr","PRI","0.04804598",2018-07-22,"D01E_pogr_can08_07222018","1EP3",2,"N",2018
"D01E","pogr","NDVI","0.8607753",2018-07-22,"D01E_pogr_can09_07222018","1EP3",3,"N",2018
"D01E","pogr","NPCI","-0.1780947",2018-07-22,"D01E_pogr_can09_07222018","1EP3",3,"N",2018
"D01E","pogr","RENDVI","0.4568438",2018-07-22,"D01E_pogr_can09_07222018","1EP3",3,"N",2018
"D01E","pogr","PRI","0.02690098",2018-07-22,"D01E_pogr_can09_07222018","1EP3",3,"N",2018
"D01E","quru","NDVI","0.8220751",2018-07-22,"D01E_quru_can01_07222018","1EQ1",1,"N",2018
"D01E","quru","NPCI","-0.1461258",2018-07-22,"D01E_quru_can01_07222018","1EQ1",1,"N",2018
"D01E","quru","RENDVI","0.5496356",2018-07-22,"D01E_quru_can01_07222018","1EQ1",1,"N",2018
"D01E","quru","PRI","0.03353875",2018-07-22,"D01E_quru_can01_07222018","1EQ1",1,"N",2018
"D01E","quru","NDVI","0.8696448",2018-07-22,"D01E_quru_can02_07222018","1EQ1",2,"N",2018
"D01E","quru","NPCI","-0.2857984",2018-07-22,"D01E_quru_can02_07222018","1EQ1",2,"N",2018
"D01E","quru","RENDVI","0.576312",2018-07-22,"D01E_quru_can02_07222018","1EQ1",2,"N",2018
"D01E","quru","PRI","0.09145845",2018-07-22,"D01E_quru_can02_07222018","1EQ1",2,"N",2018
"D01E","quru","NDVI","0.8410839",2018-07-22,"D01E_quru_can03_07222018","1EQ1",3,"N",2018
"D01E","quru","NPCI","-0.246379",2018-07-22,"D01E_quru_can03_07222018","1EQ1",3,"N",2018
"D01E","quru","RENDVI","0.5365136",2018-07-22,"D01E_quru_can03_07222018","1EQ1",3,"N",2018
"D01E","quru","PRI","0.05763659",2018-07-22,"D01E_quru_can03_07222018","1EQ1",3,"N",2018
"D01E","quru","NDVI","0.8379559",2018-07-22,"D01E_quru_can04_07222018","1EQ2",1,"N",2018
"D01E","quru","NPCI","-0.2544575",2018-07-22,"D01E_quru_can04_07222018","1EQ2",1,"N",2018
"D01E","quru","RENDVI","0.5214778",2018-07-22,"D01E_quru_can04_07222018","1EQ2",1,"N",2018
"D01E","quru","PRI","0.04763194",2018-07-22,"D01E_quru_can04_07222018","1EQ2",1,"N",2018
"D01E","quru","NDVI","0.8444069",2018-07-22,"D01E_quru_can05_07222018","1EQ2",2,"N",2018
"D01E","quru","NPCI","-0.2880198",2018-07-22,"D01E_quru_can05_07222018","1EQ2",2,"N",2018
"D01E","quru","RENDVI","0.5628393",2018-07-22,"D01E_quru_can05_07222018","1EQ2",2,"N",2018
"D01E","quru","PRI","0.06413491",2018-07-22,"D01E_quru_can05_07222018","1EQ2",2,"N",2018
"D01E","quru","NDVI","0.8434739",2018-07-22,"D01E_quru_can06_07222018","1EQ2",3,"N",2018
"D01E","quru","NPCI","-0.256013",2018-07-22,"D01E_quru_can06_07222018","1EQ2",3,"N",2018
"D01E","quru","RENDVI","0.5018705",2018-07-22,"D01E_quru_can06_07222018","1EQ2",3,"N",2018
"D01E","quru","PRI","0.06935674",2018-07-22,"D01E_quru_can06_07222018","1EQ2",3,"N",2018
"D01E","quru","NDVI","0.881326",2018-07-22,"D01E_quru_can07_07222018","1EQ3",1,"N",2018
"D01E","quru","NPCI","0.02467784",2018-07-22,"D01E_quru_can07_07222018","1EQ3",1,"N",2018
"D01E","quru","RENDVI","0.5506554",2018-07-22,"D01E_quru_can07_07222018","1EQ3",1,"N",2018
"D01E","quru","PRI","0.05235576",2018-07-22,"D01E_quru_can07_07222018","1EQ3",1,"N",2018
"D01E","quru","NDVI","0.8680926",2018-07-22,"D01E_quru_can08_07222018","1EQ3",2,"N",2018
"D01E","quru","NPCI","0.03761511",2018-07-22,"D01E_quru_can08_07222018","1EQ3",2,"N",2018
"D01E","quru","RENDVI","0.5013845",2018-07-22,"D01E_quru_can08_07222018","1EQ3",2,"N",2018
"D01E","quru","PRI","0.04478149",2018-07-22,"D01E_quru_can08_07222018","1EQ3",2,"N",2018
"D01E","quru","NDVI","0.8782547",2018-07-22,"D01E_quru_can09_07222018","1EQ3",3,"N",2018
"D01E","quru","NPCI","-0.007874829",2018-07-22,"D01E_quru_can09_07222018","1EQ3",3,"N",2018
"D01E","quru","RENDVI","0.4992284",2018-07-22,"D01E_quru_can09_07222018","1EQ3",3,"N",2018
"D01E","quru","PRI","0.04758465",2018-07-22,"D01E_quru_can09_07222018","1EQ3",3,"N",2018
"D01W","acru","NDVI","0.8913086",2018-07-23,"D01W_acru_can01_07232018","1WA1",1,"N",2018
"D01W","acru","NPCI","-0.04660968",2018-07-23,"D01W_acru_can01_07232018","1WA1",1,"N",2018
"D01W","acru","RENDVI","0.568688",2018-07-23,"D01W_acru_can01_07232018","1WA1",1,"N",2018
"D01W","acru","PRI","0.05620204",2018-07-23,"D01W_acru_can01_07232018","1WA1",1,"N",2018
"D01W","acru","NDVI","0.8848",2018-07-23,"D01W_acru_can02_07232018","1WA1",2,"N",2018
"D01W","acru","NPCI","0.007120261",2018-07-23,"D01W_acru_can02_07232018","1WA1",2,"N",2018
"D01W","acru","RENDVI","0.5175976",2018-07-23,"D01W_acru_can02_07232018","1WA1",2,"N",2018
"D01W","acru","PRI","0.05593542",2018-07-23,"D01W_acru_can02_07232018","1WA1",2,"N",2018
"D01W","acru","NDVI","0.8779986",2018-07-23,"D01W_acru_can03_07232018","1WA1",3,"N",2018
"D01W","acru","NPCI","-0.01931304",2018-07-23,"D01W_acru_can03_07232018","1WA1",3,"N",2018
"D01W","acru","RENDVI","0.5328832",2018-07-23,"D01W_acru_can03_07232018","1WA1",3,"N",2018
"D01W","acru","PRI","0.05652831",2018-07-23,"D01W_acru_can03_07232018","1WA1",3,"N",2018
"D01W","acru","NDVI","0.854546",2018-07-23,"D01W_acru_can04_07232018","1WA2",1,"N",2018
"D01W","acru","NPCI","0.01426097",2018-07-23,"D01W_acru_can04_07232018","1WA2",1,"N",2018
"D01W","acru","RENDVI","0.3807201",2018-07-23,"D01W_acru_can04_07232018","1WA2",1,"N",2018
"D01W","acru","PRI","0.03676111",2018-07-23,"D01W_acru_can04_07232018","1WA2",1,"N",2018
"D01W","acru","NDVI","0.8571037",2018-07-23,"D01W_acru_can05_07232018","1WA2",2,"N",2018
"D01W","acru","NPCI","0.03291711",2018-07-23,"D01W_acru_can05_07232018","1WA2",2,"N",2018
"D01W","acru","RENDVI","0.4050144",2018-07-23,"D01W_acru_can05_07232018","1WA2",2,"N",2018
"D01W","acru","PRI","0.0334254",2018-07-23,"D01W_acru_can05_07232018","1WA2",2,"N",2018
"D01W","acru","NDVI","0.8460146",2018-07-23,"D01W_acru_can06_07232018","1WA2",3,"N",2018
"D01W","acru","NPCI","-0.005617572",2018-07-23,"D01W_acru_can06_07232018","1WA2",3,"N",2018
"D01W","acru","RENDVI","0.3875809",2018-07-23,"D01W_acru_can06_07232018","1WA2",3,"N",2018
"D01W","acru","PRI","0.04424044",2018-07-23,"D01W_acru_can06_07232018","1WA2",3,"N",2018
"D01W","acru","NDVI","0.8574839",2018-07-23,"D01W_acru_can07_07232018","1WA3",1,"N",2018
"D01W","acru","NPCI","-0.05931132",2018-07-23,"D01W_acru_can07_07232018","1WA3",1,"N",2018
"D01W","acru","RENDVI","0.4723875",2018-07-23,"D01W_acru_can07_07232018","1WA3",1,"N",2018
"D01W","acru","PRI","0.05059345",2018-07-23,"D01W_acru_can07_07232018","1WA3",1,"N",2018
"D01W","acru","NDVI","0.869563",2018-07-23,"D01W_acru_can08_07232018","1WA3",2,"N",2018
