"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Tree_ID","Sample","Filename_date","Timestamp","Comments","final_ID","Subplot","Filename_2018","Species","girdled","Year"
2,"14:17:26",212,0,5.44,0.102,304,1.43,1.39,27.49,6,1.42,1,2.84,26.03,27.49,25.04,407.13,399.92,21.474,23.145,62.91,67.8,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
3,"14:17:27",213,0,5.44,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.02,27.47,25.04,407.14,399.93,21.473,23.14,62.91,67.8,500.1,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
4,"14:17:28",214,0,5.42,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.03,27.47,25.04,407.15,399.96,21.472,23.137,62.9,67.78,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
5,"14:17:29",214.5,0,5.44,0.102,304,1.42,1.39,27.47,6,1.42,1,2.84,26.03,27.47,25.05,407.21,400,21.473,23.136,62.91,67.78,500.2,1999,79,99,-2.11,0.0824,0.0469,0.0138,0.0382,0.0127,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_03_20210804","1EA1",3,"20210804",2021-08-04 14:14:35,"14:14:36 ; ","1EA1","D01E","D01E_acru_can03_07222018","acru","N",2021
1,"13:26:56",201.5,0,12.1,0.253,311,2.79,1.15,27.25,6,1.42,1,2.84,26.23,27.25,25.04,415.85,399.97,21.789,25.055,63.05,72.5,500.3,2000,298,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
2,"13:26:56",202.5,0,12.2,0.253,310,2.79,1.15,27.25,6,1.42,1,2.84,26.23,27.25,25.04,415.88,399.95,21.79,25.052,63.05,72.49,500.2,1999,298,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
3,"13:26:57",203.5,0,12.2,0.252,310,2.79,1.15,27.26,6,1.42,1,2.84,26.23,27.26,25.04,415.91,399.93,21.787,25.047,63.05,72.48,500.3,1999,298,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
4,"13:26:58",204,0,12.2,0.252,310,2.79,1.15,27.25,6,1.42,1,2.84,26.23,27.25,25.04,415.95,399.93,21.787,25.046,63.05,72.48,500.2,1999,301,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
5,"13:26:59",205,0,12.3,0.252,309,2.78,1.15,27.25,6,1.42,1,2.84,26.23,27.25,25.04,416.04,399.93,21.789,25.043,63.06,72.47,500.2,1999,300,98.96,-2.34,0.0821,0.0834,0.00337,0.0849,0.00154,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_01_20210804","1EA2",1,"20210804",2021-08-04 13:24:35,"13:24:37 ; ","1EA2","D01E","D01E_acru_can04_07222018","acru","N",2021
1,"13:32:56",176.5,0,11,0.203,301,2.42,1.22,27.34,6,1.42,1,2.84,26.24,27.34,25.04,414.56,400.2,21.688,24.515,62.71,70.88,500.4,1999,204,98.96,-2.47,0.074,0.119,0.00232,0.148,0.00239,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_02_20210804","1EA2",2,"20210804",2021-08-04 13:30:52,"13:30:53 ; ","1EA2","D01E","D01E_acru_can05_07222018","acru","N",2021
2,"13:32:57",177.5,0,11,0.203,301,2.41,1.22,27.33,6,1.42,1,2.84,26.24,27.33,25.04,414.5,400.18,21.69,24.513,62.72,70.88,500.4,1999,204,98.96,-2.47,0.074,0.119,0.00232,0.148,0.00239,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_02_20210804","1EA2",2,"20210804",2021-08-04 13:30:52,"13:30:53 ; ","1EA2","D01E","D01E_acru_can05_07222018","acru","N",2021
3,"13:32:57",178,0,11,0.203,301,2.41,1.22,27.33,6,1.42,1,2.84,26.24,27.33,25.04,414.49,400.19,21.689,24.512,62.71,70.87,500.4,1999,203,98.96,-2.47,0.074,0.119,0.00232,0.148,0.00239,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_02_20210804","1EA2",2,"20210804",2021-08-04 13:30:52,"13:30:53 ; ","1EA2","D01E","D01E_acru_can05_07222018","acru","N",2021
4,"13:32:58",178.5,0,11,0.202,301,2.41,1.23,27.34,6,1.42,1,2.84,26.24,27.34,25.04,414.48,400.17,21.689,24.511,62.71,70.87,500.3,1999,203,98.96,-2.47,0.074,0.119,0.00232,0.148,0.00239,0.3,-0.22,2.74,1,0,0.16,111115,"1EA2_02_20210804","1EA2",2,"20210804",2021-08-04 13:30:52,"13:30:53 ; ","1EA2","D01E","D01E_acru_can05_07222018","acru","N",2021
5,"13:32:59",179.5,0,11,0.202,301,2.41,1.23,27.34,6,1.42,1,2.84,26.24,27.34,25.04,414.46,400.15,21.687,24.508,62.71,70.86,500.3,1999,203,98.96,-2.47,0.074,0.119,0.00232,0.148,0.00239,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_02_20210804","1EA2",2,"20210804",2021-08-04 13:30:52,"13:30:53 ; ","1EA2","D01E","D01E_acru_can05_07222018","acru","N",2021
1,"13:38:53",221.5,0,12.1,0.198,290,2.46,1.27,27.58,6,1.42,1,2.84,25.94,27.58,25.04,416.36,400.65,21.662,24.537,63.74,72.2,500.3,2000,126,98.97,-2.33,0.0904,0.0365,0.00415,0.0794,0.00603,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_03_20210804","1EA2",3,"20210804",2021-08-04 13:35:55,"13:35:56 ; ","1EA2","D01E","D01E_acru_can06_07222018","acru","N",2021
2,"13:38:53",222,0,12.1,0.198,290,2.46,1.27,27.58,6,1.42,1,2.84,25.94,27.58,25.04,416.4,400.67,21.661,24.537,63.74,72.2,500.3,2000,126,98.97,-2.33,0.0904,0.0365,0.00415,0.0794,0.00603,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_03_20210804","1EA2",3,"20210804",2021-08-04 13:35:55,"13:35:56 ; ","1EA2","D01E","D01E_acru_can06_07222018","acru","N",2021
3,"13:38:54",223,0,12.2,0.198,289,2.46,1.27,27.58,6,1.42,1,2.84,25.95,27.58,25.04,416.54,400.69,21.66,24.536,63.73,72.2,500.3,2000,128,98.97,-2.33,0.0904,0.0365,0.00415,0.0794,0.00603,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_03_20210804","1EA2",3,"20210804",2021-08-04 13:35:55,"13:35:56 ; ","1EA2","D01E","D01E_acru_can06_07222018","acru","N",2021
4,"13:38:55",223.5,0,12.3,0.198,288,2.46,1.27,27.58,6,1.42,1,2.84,25.95,27.58,25.04,416.61,400.69,21.661,24.535,63.74,72.2,500.3,2000,128,98.97,-2.33,0.0904,0.0365,0.00415,0.0794,0.00603,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_03_20210804","1EA2",3,"20210804",2021-08-04 13:35:55,"13:35:56 ; ","1EA2","D01E","D01E_acru_can06_07222018","acru","N",2021
5,"13:38:56",224.5,0,12.3,0.197,288,2.46,1.28,27.59,6,1.42,1,2.84,25.95,27.59,25.04,416.71,400.75,21.662,24.535,63.74,72.19,500.3,2000,129,98.97,-2.33,0.0904,0.0365,0.00415,0.0794,0.00603,0.7,-0.22,2.74,1,0,0.16,111115,"1EA2_03_20210804","1EA2",3,"20210804",2021-08-04 13:35:55,"13:35:56 ; ","1EA2","D01E","D01E_acru_can06_07222018","acru","N",2021
1,"11:53:30",178.5,0,15.1,0.637,352,2.96,0.546,26.53,6,1.42,1,2.84,25.9,26.53,25.05,420.04,400.49,26.201,29.65,77.36,87.54,500.2,1999,85,99.02,-1.48,0.0288,0.0824,0.000381,0.0666,0.00157,0.7,-0.22,2.74,1,0,0.16,111115,"1EA3_01_20210804","1EA3",1,"20210804",2021-08-04 11:51:34,"11:51:36 ; ","1EA3","D01E","D01E_acru_can07_07222018","acru","N",2021
2,"11:53:31",179.5,0,15,0.637,352,2.96,0.545,26.53,6,1.42,1,2.84,25.9,26.53,25.05,420.01,400.57,26.199,29.647,77.35,87.53,500.2,1999,87,99.02,-1.48,0.0288,0.0824,0.000381,0.0666,0.00157,0.7,-0.22,2.74,1,0,0.16,111115,"1EA3_01_20210804","1EA3",1,"20210804",2021-08-04 11:51:34,"11:51:36 ; ","1EA3","D01E","D01E_acru_can07_07222018","acru","N",2021
3,"11:53:32",180,0,15,0.636,352,2.96,0.546,26.53,6,1.42,1,2.84,25.9,26.53,25.05,419.96,400.6,26.2,29.647,77.35,87.53,500.2,1999,86,99.02,-1.48,0.0288,0.0824,0.000381,0.0666,0.00157,0.7,-0.22,2.74,1,0,0.16,111115,"1EA3_01_20210804","1EA3",1,"20210804",2021-08-04 11:51:34,"11:51:36 ; ","1EA3","D01E","D01E_acru_can07_07222018","acru","N",2021
4,"11:53:32",181,0,14.9,0.639,353,2.97,0.544,26.52,6,1.42,1,2.84,25.9,26.52,25.05,419.95,400.7,26.197,29.649,77.34,87.53,500.2,1999,83,99.02,-1.48,0.0288,0.0824,0.000381,0.0666,0.00157,0.7,-0.22,2.74,1,0,0.16,111115,"1EA3_01_20210804","1EA3",1,"20210804",2021-08-04 11:51:34,"11:51:36 ; ","1EA3","D01E","D01E_acru_can07_07222018","acru","N",2021
5,"11:53:33",181.5,0,14.8,0.64,353,2.96,0.544,26.52,6,1.42,1,2.84,25.9,26.52,25.05,419.97,400.76,26.198,29.648,77.34,87.53,500.2,1999,84,99.02,-1.48,0.0288,0.0824,0.000381,0.0666,0.00157,0.7,-0.22,2.74,1,0,0.16,111115,"1EA3_01_20210804","1EA3",1,"20210804",2021-08-04 11:51:34,"11:51:36 ; ","1EA3","D01E","D01E_acru_can07_07222018","acru","N",2021
1,"11:58:44",179,0,12,0.363,338,2.25,0.669,26.71,6,1.42,1,2.84,26.17,26.71,25.05,415.99,400.5,26.173,28.789,76.04,83.64,500.2,2000,473,99,-1.62,0.0177,0.131,0.00423,0.136,0.0036,1,-0.22,2.74,1,0,0.16,111115,"1EA3_02_20210804","1EA3",2,"20210804",2021-08-04 11:56:28,"11:56:29 ; ","1EA3","D01E","D01E_acru_can08_07222018","acru","N",2021
