"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Tree_ID","Sample","Filename_date","Timestamp","Comments","final_ID","Subplot","Filename_2018","Species","girdled","Year"
1,"12:46:52",114.5,0,3.8,0.0471,258,1.03,2.12,26.04,6,1.42,1,2.84,25.27,26.04,25.05,405.59,400.53,11.693,12.908,35.44,39.13,500.3,1998,0,97.93,1.4,0.303,0.0639,0.00167,0.0352,0.00233,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190620","1EA1",1,"20190620",2019-06-20 12:45:24,"12:45:26 ; 2. 12:45:49 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
2,"12:46:53",115,0,3.84,0.0471,256,1.02,2.12,26.03,6,1.42,1,2.84,25.27,26.03,25.05,405.6,400.5,11.693,12.907,35.44,39.12,500.3,1998,0,97.93,1.4,0.303,0.0639,0.00167,0.0352,0.00233,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190620","1EA1",1,"20190620",2019-06-20 12:45:24,"12:45:26 ; 2. 12:45:49 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
3,"12:46:54",115.5,0,3.86,0.047,256,1.02,2.11,26.02,6,1.42,1,2.84,25.27,26.02,25.05,405.62,400.5,11.695,12.906,35.45,39.12,500.3,1999,0,97.93,1.4,0.303,0.0639,0.00167,0.0352,0.00233,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190620","1EA1",1,"20190620",2019-06-20 12:45:24,"12:45:26 ; 2. 12:45:49 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
4,"12:46:54",116.5,0,3.88,0.0469,255,1.02,2.12,26.04,6,1.42,1,2.84,25.27,26.04,25.05,405.62,400.48,11.694,12.906,35.44,39.11,500.1,1999,0,97.93,1.4,0.303,0.0639,0.00167,0.0352,0.00233,1,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190620","1EA1",1,"20190620",2019-06-20 12:45:24,"12:45:26 ; 2. 12:45:49 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
5,"12:46:55",117,0,3.88,0.0468,255,1.02,2.12,26.04,6,1.42,1,2.84,25.27,26.04,25.05,405.62,400.48,11.694,12.904,35.44,39.11,500,1999,0,97.93,1.4,0.303,0.0639,0.00167,0.0352,0.00233,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190620","1EA1",1,"20190620",2019-06-20 12:45:24,"12:45:26 ; 2. 12:45:49 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
1,"14:11:05",557.5,0,4.53,0.0328,167,0.724,2.12,29.03,6,1.42,1,2.84,25.75,29.03,25.04,405.81,400.02,18.609,19.46,54.86,57.37,500.2,2001,0,98,-0.139,0.6,0.0563,0.00562,0.102,0.00544,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190806","1EA1",1,"20190806",2019-08-06 14:02:12,"14:02:13 ; 2. 14:02:32 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
2,"14:11:06",558,0,4.58,0.0328,164,0.724,2.12,29.02,6,1.42,1,2.84,25.75,29.02,25.04,405.86,400.02,18.608,19.459,54.85,57.36,500.2,2001,0,98,-0.139,0.6,0.0563,0.00562,0.102,0.00544,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190806","1EA1",1,"20190806",2019-08-06 14:02:12,"14:02:13 ; 2. 14:02:32 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
3,"14:11:06",558.5,0,4.62,0.0328,162,0.724,2.12,29.02,6,1.42,1,2.84,25.75,29.02,25.04,405.91,400.02,18.608,19.459,54.85,57.36,500.2,2001,0,98,-0.139,0.6,0.0563,0.00562,0.102,0.00544,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190806","1EA1",1,"20190806",2019-08-06 14:02:12,"14:02:13 ; 2. 14:02:32 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
4,"14:11:07",559,0,4.68,0.0328,159,0.723,2.12,29.03,6,1.42,1,2.84,25.75,29.03,25.04,405.98,400.01,18.608,19.459,54.85,57.36,500.2,2001,0,98,-0.139,0.6,0.0563,0.00562,0.102,0.00544,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190806","1EA1",1,"20190806",2019-08-06 14:02:12,"14:02:13 ; 2. 14:02:32 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
5,"14:11:07",559.5,0,4.7,0.0328,158,0.724,2.12,29.04,6,1.42,1,2.84,25.75,29.04,25.04,406.02,400.04,18.608,19.459,54.85,57.36,500.2,2001,0,98,-0.139,0.6,0.0563,0.00562,0.102,0.00544,0.7,-0.22,2.74,1,0,0.16,111115,"1EA1_01_20190806","1EA1",1,"20190806",2019-08-06 14:02:12,"14:02:13 ; 2. 14:02:32 Flow: Fixed -> 500 umol/s","1EA1","D01E","D01E_acru_can01_07222018","acru","N",2019
