Layer Title, Color, Specimen ID
Layer 1, Blue, 4WP1_02_20210726

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,250 ms,10,5

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.21991,1706.77715625,100%
345.435498861008,1646.566875,100%
345.651076862504,1642.4709375,21.551724137932%
345.866644002202,2994.1303125,0%
346.082200277813,2809.40353125,0%
346.297745687047,2630.00146875,0%
346.513280227618,3163.29253125,0%
346.728803897236,2875.75771875,0%
346.944316693613,2763.938625,0%
347.15981861446,3060.89409375,0%
347.37530965749,2718.43470982143,100%
347.590789820413,2783.34556696429,100%
347.806259100942,2847.72980357143,100%
348.021717496787,2917.82884821429,100%
348.237165005661,2912.95273214286,100%
348.452601625276,2932.30116071429,100%
348.668027353342,2966.25843303571,100%
348.883442187571,2952.60530803572,100%
349.098846125676,2956.64273214286,100%
349.314239165367,2984.49510714286,100%
349.529621304356,2976.12769196429,100%
349.744992540355,3006.06704464286,100%
349.960352871075,3023.87462053571,100%
350.175702294228,3025.66903125,100%
350.391040807526,3027.63898214286,100%
350.606368408679,3063.60521428571,100%
350.821685095401,3091.80866964286,100%
351.036990865402,3096.56775892857,100%
351.252285716393,3106.94413392857,100%
351.467569646088,3095.90460714286,100%
351.682842652196,3077.45338392857,100%
351.89810473243,3085.68426785714,98.6336032388664%
352.113355884501,3092.08173214286,98.7598458186695%
352.328596106122,3102.77017857143,96.7601870407477%
352.543825395002,3083.32422767857,89.8134389962026%
352.759043748855,3088.74646875,86.4608851869995%
352.974251165392,3072.67479017857,85.4235605559232%
353.189447642324,3058.78761160714,86.5519545606416%
353.404633177362,3083.20720089286,85.4606931530007%
353.619807768219,3067.3110625,82.6717180036235%
353.834971412607,3041.15557589286,82.40192153723%
354.050124108236,3038.44445535714,82.5107810253947%
354.265265852818,3016.98954464286,81.2520219993533%
354.480396644065,2996.587875,77.0423661071144%
354.695516479689,3012.58153571429,75.695302843016%
354.9106253574,3011.21622321429,75.6857483601672%
355.125723274911,2987.96690178571,73.326390955073%
355.340810229934,2977.31746428571,72.8122218926134%
355.555886220179,2979.15088392857,71.6986536808938%
355.770951243359,2986.09447321429,69.151456040128%
355.986005297185,3009.30478571429,67.1567305098465%
356.201048379369,3017.80873214286,64.9453065377764%
356.416080487621,3018.45237946429,62.9583124058263%
356.631101619655,3010.787125,58.7274706665054%
356.846111773181,2984.45609821429,54.1266350272022%
357.061110945911,2995.2225625,55.6149149585696%
357.276099135557,3002.51723214286,54.7126911947089%
357.49107633983,3037.80080803571,53.6892445832522%
357.706042556441,3048.06015625,49.8960686850432%
357.920997783104,3024.14768303571,48.4303381475396%
358.135942017528,3048.21619196429,45.1563507414572%
358.350875257425,3085.04062053571,41.9440847109012%
358.565797500508,3084.61152232143,38.5896249911051%
358.780708744488,3088.90250446429,35.722255037081%
358.995608987076,3119.05640625,34.9545925519596%
359.210498225985,3114.35583035714,32.4493427472591%
359.425376458925,3105.63733482143,29.7101837467186%
359.640243683608,3106.92462946429,27.5793453387722%
359.855099897745,3103.51134821429,25.8567692801762%
360.06994509905,3095.86559821429,24.3633566911639%
360.284779285232,3085.29417857143,23.3885310042288%
360.499602454003,3060.07490625,22.2443632606371%
360.714414603076,3084.2409375,21.2850990525409%
360.929215730162,3081.80287946429,20.4244710093973%
361.144005832972,3072.92834821429,19.6716408983523%
361.358784909218,3089.7021875,19.1951766685362%
361.573552956612,3079.38432589286,17.7442698876345%
361.788309972865,3073.43546428571,16.579990094106%
362.003055955688,3041.46764732143,15.903890160183%
362.217790902794,3031.83244196429,15.2926856257608%
362.432514811894,3048.1966875,14.2600221669211%
362.647227680699,3045.34903571429,13.5926014701182%
362.861929506922,3007.2373125,13.1512565196776%
363.076620288273,3012.01590625,12.7695338623096%
363.291300022465,3012.65955357143,12.4034765746737%
363.505968707208,3001.46399107143,11.2426330206691%
363.720626340215,2995.08603125,11.2998865216488%
363.935272919197,3028.18510714286,11.2819168619712%
364.149908441866,3022.23624553571,11.0975500848392%
364.364532905934,3032.78816071429,10.8232809742833%
364.579146309111,3047.3775,10.4615644486987%
364.79374864911,3049.40596428571,10.1360161407651%
365.008339923641,3052.40965178571,9.9852665416555%
365.222920130418,3046.61682589286,9.58342044741795%
365.437489267151,3054.98424107143,9.58585031227606%
365.652047331552,3062.72751339286,9.39254273048089%
365.866594321332,3059.45076339286,9.13428850456772%
366.081130234203,3058.28049553571,8.99855038920226%
366.295655067877,3065.24358928571,9.11724403202157%
366.510168820066,3063.25413392857,9.01539010042193%
366.72467148848,3046.61682589286,9.00125620766169%
366.939163070832,3046.12921428571,9.09947096099064%
367.153643564833,3040.72647767857,9.09289316195136%
367.368112968194,3058.80711607143,9.17486631625752%
367.582571278628,3055.62788839286,9.08956748779657%
367.797018493846,3049.17191071429,8.9437145247733%
368.011454611559,3030.11604910714,9.25629522757503%
368.225879629479,3028.14609821429,8.93143915997527%
368.440293545318,3013.08865178571,8.94531555595293%
368.654696356787,3015.44869196429,8.90378117996006%
368.869088061598,3010.35802678571,8.80538106620713%
369.083468657462,3010.39703571429,8.96188203961602%
369.297838142092,3028.80925,9.00348679681083%
369.512196513198,3043.65214732143,8.89375733032372%
369.726543768492,3028.88726785714,8.87594280587889%
369.940879905687,3039.14661607143,8.85169585457767%
370.155204922492,3038.15188839286,8.79965400226232%
370.369518816621,3058.88513392857,8.91444046126015%
370.583821585784,3080.67162053571,8.96109961967039%
370.798113227694,3050.65425,8.90910508089571%
371.012393740062,3079.81342410714,9.09608556818437%
